"","Female","Total.Chatters","Context","Percent"
"1","FBPL",33,"Followed.male.action",1
"2","FNHW",24,"Followed.male.action",1
"3","FRLP",69,"Followed.male.action",0.782608695652174
"4","FWLY",1,"Followed.male.action",1
"5","FLMW",59,"Followed.male.action",0.830508474576271
"6","FLPB",28,"Followed.male.action",0.785714285714286
"7","FLRH",1,"Followed.male.action",1
"8","FMGW",9,"Followed.male.action",0.777777777777778
"9","FNGH",22,"Followed.male.action",1
"10","FNOW",83,"Followed.male.action",0.831325301204819
"11","FOYN",29,"Followed.male.action",0.827586206896552
"12","FWNR",2,"Followed.male.action",1
"13","FBPL",33,"Both.followed.and.preceded.male.action",0
"14","FNHW",24,"Both.followed.and.preceded.male.action",0
"15","FRLP",69,"Both.followed.and.preceded.male.action",0.072463768115942
"16","FWLY",1,"Both.followed.and.preceded.male.action",0
"17","FLMW",59,"Both.followed.and.preceded.male.action",0.0847457627118644
"18","FLPB",28,"Both.followed.and.preceded.male.action",0.107142857142857
"19","FLRH",1,"Both.followed.and.preceded.male.action",0
"20","FMGW",9,"Both.followed.and.preceded.male.action",0.222222222222222
"21","FNGH",22,"Both.followed.and.preceded.male.action",0
"22","FNOW",83,"Both.followed.and.preceded.male.action",0.0481927710843374
"23","FOYN",29,"Both.followed.and.preceded.male.action",0.103448275862069
"24","FWNR",2,"Both.followed.and.preceded.male.action",0
"25","FBPL",33,"Preceded.male.action",0
"26","FNHW",24,"Preceded.male.action",0
"27","FRLP",69,"Preceded.male.action",0.144927536231884
"28","FWLY",1,"Preceded.male.action",0
"29","FLMW",59,"Preceded.male.action",0.0847457627118644
"30","FLPB",28,"Preceded.male.action",0.107142857142857
"31","FLRH",1,"Preceded.male.action",0
"32","FMGW",9,"Preceded.male.action",0
"33","FNGH",22,"Preceded.male.action",0
"34","FNOW",83,"Preceded.male.action",0.120481927710843
"35","FOYN",29,"Preceded.male.action",0.0689655172413793
"36","FWNR",2,"Preceded.male.action",0
